Owner Name,Venue Name,Ice Pad Name,Ice Pad Length,Ice Pad Width,Street Address,City,Province,Postal Code,Phone number,Notes
Burlington,Aldershot Arena,,,,494 Townsend Ave.,Burlington,Ontario,L7T 2B3,905-637-3555,
,Appleby Ice Centre,Pad 1,,,1201 Appleby Line,Burlington,,L7L 5H9,905-331-7465,
,,Pad 2,,,,,,,,
,,Pad 3,,,,,,,,
,,Pad 4,,,,,,,,
,Central Arena,,,,519 Drury Lane,Burlington,,L7R 2X3,905-634-5571,
,Mainway Recreation Centre,Arena A,,,4015 Mainway,Burlington,,L7M 2L7,905-336-1877,
,,Arena B,,,,,,,,
,Mountainside Arena,,,,2205 Mount Forest Drive,,,L7P 1H8,905-332-6060,
,Nelson Arena,,,,4235 New Street,,,L7R 3Z6,905-637-2552,
,Skyway Arena,,,,129 Kenwood Avenue,,,L7R 3Z6,905-632-1717,
Oakville,Glen Abbey Community Centre,Blue Rink,190,85,1415 Third Line,Oakville,,L6M 3G2,905-815-5950,
,,Green Rink,190,85,,,,,,
,Joshua's Creek Arenas,Blue Rink,200,85,1663 North Service Road East,,,L6H 7T1,905-815-6111,
,,Red Rink,200,85,,,,,,
,,Blue Shooter Pad,40,20,,,,,,
,,Red Shooter Pad,40,20,,,,,,
,Kinoak Arena,,180,80,363 Warminster Drive,,,L6L 4N1,905-338-4191,
,Maple Grove Arena,,180,80,2237 Devon Road,,,L6J 5Z8,905-338-4193,
,River Oaks Community Centre,A Pad,190,85,2400 Sixth Line,,,L6H 3N8,905-338-4186,
,,B Pad,200,100,,,,,,
,,Shooter Pad #1,36,20,,,,,,
,,Shooter Pad #2,27,20,,,,,,
,Sixteen Mile Sports Complex,#1 Ice Pad,200,100,3070 Neyagawa Boulevard,,,L6M 4M2,905-815-6177,
,,#2 Ice Pad,200,85,,,,,,
,,#3 Ice Pad,200,85,,,,,,
,,#4 Ice Pad,200,85,,,,,,
,,Shooter Pad A,40,20,,,,,,
,,Shooter Pad B,40,20,,,,,,
Milton,John Tonelli Sports Centre,,,,217 Laurier Ave,Milton,,L9T 3R5,905-875-5418,
,Milton Memorial Arena,,,,77 Thompson Rd S,,,L9T 6H7,,
,Milton Sports Centre,Pad 1,,,605 Santa Maria Blvd,,,L9T 6J5,,
,,Pad 2,,,,,,,,
,,Pad 3,,,,,,,,
,,Pad 4,,,,,,,,